都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
152188,3000800001,新潟県,五泉市,黄金の里会館,オウゴンノサトカイカン,Golden Village Hall,新潟県五泉市蛭野878-13,,37.641097,139.188859,株式会社きらめき,0250-58-1808,,0000FLETS-PORTAL,建物内,http://www.enjoy-gosen.com/,商工観光課
152188,3000800002,新潟県,五泉市,五泉市観光案内所,ゴセンシカンコウアンナイジョ,GosenCity Tourist Imformation Center,新潟県五泉市駅前1-2-1,,37.73472414,139.1792871,五泉市,0250-47-8388,,0000FLETS-PORTAL,案内所内,http://www.gosen-kankou.niigata.jp,商工観光課
152188,3000800003,新潟県,五泉市,五泉市村松さくらんど温泉,ゴセンシムラマツサクランドオンセン,Sakurando Spa,新潟県五泉市上木越甲423-1,,37.700378,139.206609,さくらんど温泉運営グループ代表者グリーン産業株式会社,0250-58-1611,,OWNER5543,休憩スペース自販機付近,http://www.sakurand.com/,商工観光課
152188,3000800004,新潟県,五泉市,五泉市村松支所,ゴセンシムラマツシショ,GosenCity Muramatsu Branch,新潟県五泉市村松乙130-1,,37.693527,139.174625,テルウェル東日本（株）,0250-58-7181,,0000FLETS-PORTAL,村松支所１階エントランスホール、村松支所２階事務室周辺,https://www.city.gosen.lg.jp,地域振興課
152188,3000800005,新潟県,五泉市,五泉市役所,ゴセンシヤクショ,GosenCity Hall,新潟県五泉市太田1094-1,,37.744483,139.182567,五泉市,0250-43-3911,,0000FLETS-PORTAL,五泉市役所本庁舎１階市民ロビー周辺、五泉市役所本庁舎２階事務室周辺、五泉市役所本庁舎３階事務室周辺、五泉市役所本庁舎４階事務室周辺、五泉市役所本庁舎５階事務室周辺,https://www.city.gosen.lg.jp,総務課
152188,3000800006,新潟県,五泉市,村松観光開発会館（ふるさと会館）,ムラマツカンコウカイハツカイカン（フルサトカイカン）,"Muramatsu Tourism Development Hall ""Furusato""",新潟県五泉市愛宕甲2929-1,,37.693144,139.1896749,株式会社きらめき,0250-58-5130,,OWNER4046,館内自動販売機付近,http://www.enjoy-gosen.com/,商工観光課
152188,3000800007,新潟県,五泉市,村松公園,ムラマツコウエン,Muramatsu Park,新潟県五泉市愛宕甲2631-1,,37.6927043,139.1881628,五泉市,0250-58-2147,,Niigata_City_Free_Wi-Fi,村松公園管理事務所付近,https://www.city.gosen.lg.jp/hyande/2/4/2281.html,商工観光課
